##########################################################################################
### MCD_v6.1 with climatology average solar scenario.
### JD 2462225.03833. Altitude 311500.0 m ALS.
### --------------------------------------------------------------------------------------
### Column 1 is East longitude (degrees)
### Columns 2+ are Density (kg/m3)
### Line 1 is North latitude (degrees)
### --------------------------------------------------------------------------------------
### Retrieved on: 2022-12-29T18:07:17.952624
### Mars Climate Database (c) LMD/OU/IAA/ESA/CNES
##########################################################################################
---- ||   -9.00000e+01   -8.61702e+01   -8.23404e+01   -7.85106e+01   -7.46809e+01   -7.08511e+01   -6.70213e+01   -6.31915e+01   -5.93617e+01   -5.55319e+01   -5.17021e+01   -4.78723e+01   -4.40426e+01   -4.02128e+01   -3.63830e+01   -3.25532e+01   -2.87234e+01   -2.48936e+01   -2.10638e+01   -1.72340e+01   -1.34043e+01   -9.57447e+00   -5.74468e+00   -1.91489e+00    1.91489e+00    5.74468e+00    9.57447e+00    1.34043e+01    1.72340e+01    2.10638e+01    2.48936e+01    2.87234e+01    3.25532e+01    3.63830e+01    4.02128e+01    4.40426e+01    4.78723e+01    5.17021e+01    5.55319e+01    5.93617e+01    6.31915e+01    6.70213e+01    7.08511e+01    7.46809e+01    7.85106e+01    8.23404e+01    8.61702e+01    9.00000e+01
-----------------------------------
-134 ||    1.06486e-13    7.90394e-14    7.21426e-14    4.75810e-14    3.83323e-14    4.01451e-14    4.11847e-14    3.86695e-14    3.38695e-14    2.83324e-14    2.38359e-14    1.86313e-14    1.53809e-14    1.27016e-14    1.10907e-14    1.05798e-14    1.00909e-14    9.88818e-15    9.84293e-15    9.95285e-15    1.00349e-14    1.04578e-14    1.10904e-14    1.15422e-14    1.23534e-14    1.35202e-14    1.40009e-14    1.08503e-14    2.10343e-14    1.58179e-14    1.63591e-14    2.27505e-14    2.26282e-14    2.48132e-14    2.71878e-14    3.02067e-14    3.28624e-14    3.55309e-14    3.79404e-14    4.03667e-14    4.21135e-14    4.35601e-14    4.42720e-14    4.46654e-14    4.43318e-14    4.34639e-14    4.17418e-14    4.23570e-14
-128 ||    1.06535e-13    8.00279e-14    7.06900e-14    4.56633e-14    3.81218e-14    3.97543e-14    3.86174e-14    3.70693e-14    3.31358e-14    2.67216e-14    2.29411e-14    1.78141e-14    1.44445e-14    1.26895e-14    1.02630e-14    1.03842e-14    9.67428e-15    9.54462e-15    9.40072e-15    9.30601e-15    9.26280e-15    9.47329e-15    1.02071e-14    1.09620e-14    1.16088e-14    1.24931e-14    1.35431e-14    1.33980e-14    1.16337e-14    1.43078e-14    1.85941e-14    2.05713e-14    2.23719e-14    2.38727e-14    2.64159e-14    2.91571e-14    3.22671e-14    3.48828e-14    3.74150e-14    3.95571e-14    4.13564e-14    4.26215e-14    4.35408e-14    4.40294e-14    4.38349e-14    4.35465e-14    4.12239e-14    4.23506e-14
-122 ||    1.06494e-13    8.10247e-14    6.68841e-14    4.21897e-14    3.76352e-14    3.80865e-14    4.07058e-14    3.69084e-14    3.17955e-14    2.65228e-14    2.10899e-14    1.66585e-14    1.35817e-14    1.14089e-14    1.04931e-14    9.61556e-15    9.31466e-15    9.05312e-15    8.94894e-15    8.73248e-15    9.31662e-15    8.92207e-15    8.98275e-15    1.01339e-14    1.12235e-14    1.24641e-14    1.34765e-14    1.43493e-14    1.52269e-14    1.67505e-14    1.82599e-14    1.96075e-14    2.10755e-14    2.24237e-14    2.45373e-14    2.73738e-14    3.06471e-14    3.38480e-14    3.63844e-14    3.84561e-14    4.04074e-14    4.18281e-14    4.27751e-14    4.35529e-14    4.35571e-14    4.29195e-14    4.19505e-14    4.23404e-14
-117 ||    1.06496e-13    8.17620e-14    6.31589e-14    4.08886e-14    3.69567e-14    3.76010e-14    3.97067e-14    3.54947e-14    2.99693e-14    2.49584e-14    1.97348e-14    1.56424e-14    1.28500e-14    1.10459e-14    1.00168e-14    9.70937e-15    8.87570e-15    8.66729e-15    8.55765e-15    8.47073e-15    7.91038e-15    7.53564e-15    8.74557e-15    9.44683e-15    1.01338e-14    1.15525e-14    1.25665e-14    1.38878e-14    1.50391e-14    1.59898e-14    1.70706e-14    1.83595e-14    1.93867e-14    2.03910e-14    2.25545e-14    2.51253e-14    2.85883e-14    3.24751e-14    3.48988e-14    3.71815e-14    3.90639e-14    4.04010e-14    4.16435e-14    4.24309e-14    4.31017e-14    4.29640e-14    4.14603e-14    4.23609e-14
-111 ||    1.06501e-13    8.17252e-14    6.04794e-14    3.95927e-14    3.76581e-14    3.62932e-14    3.77915e-14    3.45858e-14    2.84473e-14    2.58875e-14    1.83403e-14    1.50828e-14    1.23220e-14    1.05076e-14    9.28217e-15    8.76394e-15    8.29974e-15    8.24249e-15    8.09691e-15    8.16899e-15    8.59102e-15    8.63835e-15    8.84981e-15    8.47051e-15    1.24199e-14    1.06079e-14    1.13573e-14    1.26685e-14    1.41535e-14    1.53134e-14    1.61501e-14    1.84034e-14    1.85019e-14    1.90130e-14    2.16874e-14    2.40486e-14    2.67001e-14    3.05943e-14    3.32006e-14    3.54908e-14    3.74753e-14    3.92921e-14    4.05755e-14    4.16393e-14    4.21871e-14    4.21043e-14    4.07403e-14    4.23683e-14
-105 ||    1.06472e-13    8.11712e-14    6.02141e-14    3.92479e-14    3.65046e-14    3.61751e-14    3.42806e-14    3.41130e-14    2.68392e-14    2.32598e-14    1.65795e-14    1.37734e-14    1.14933e-14    9.56655e-15    9.15181e-15    7.76652e-15    7.48936e-15    7.41511e-15    7.71508e-15    7.85329e-15    7.84709e-15    8.19328e-15    7.94811e-15    9.08865e-15    9.83654e-15    1.06079e-14    1.28962e-14    1.29297e-14    1.29144e-14    1.41378e-14    1.53030e-14    1.60959e-14    1.72601e-14    1.91873e-14    1.98970e-14    2.32967e-14    2.51201e-14    2.88139e-14    3.14384e-14    3.36706e-14    3.58430e-14    3.76205e-14    3.92364e-14    4.07075e-14    4.16746e-14    4.17947e-14    4.02819e-14    4.23542e-14
-100 ||    1.06495e-13    8.16952e-14    5.86638e-14    3.86818e-14    3.66077e-14    3.69316e-14    3.61898e-14    3.33600e-14    2.77101e-14    2.13771e-14    1.66352e-14    1.28657e-14    1.00559e-14    8.90014e-15    7.97949e-15    7.65646e-15    7.94850e-15    7.15637e-15    7.22969e-15    7.39544e-15    7.60242e-15    7.94592e-15    8.30336e-15    8.82975e-15    9.32135e-15    9.92385e-15    9.61517e-15    1.06172e-14    1.21671e-14    1.35260e-14    1.47567e-14    1.59779e-14    1.76297e-14    1.82366e-14    2.05658e-14    2.17570e-14    2.46981e-14    2.72522e-14    2.94322e-14    3.21391e-14    3.42626e-14    3.62075e-14    3.78962e-14    3.97147e-14    4.10617e-14    4.12328e-14    4.02384e-14    4.23598e-14
-094 ||    1.06488e-13    8.19982e-14    5.50984e-14    3.86479e-14    3.70815e-14    3.69427e-14    3.63066e-14    3.31109e-14    2.54746e-14    2.00642e-14    1.54281e-14    1.17152e-14    8.79163e-15    8.85279e-15    6.98954e-15    6.82523e-15    6.81439e-15    6.78014e-15    6.79278e-15    6.84098e-15    7.01962e-15    7.80402e-15    6.77319e-15    8.15895e-15    8.85425e-15    9.58600e-15    1.02478e-14    1.10330e-14    1.20340e-14    1.30232e-14    1.40296e-14    1.55039e-14    1.69543e-14    1.84705e-14    1.99916e-14    2.21073e-14    2.40461e-14    2.59458e-14    2.82799e-14    3.04978e-14    3.28867e-14    3.49947e-14    3.70733e-14    3.87620e-14    4.02371e-14    4.09912e-14    4.00353e-14    4.23447e-14
-088 ||    1.06496e-13    8.15527e-14    5.43709e-14    3.89554e-14    3.66735e-14    3.92558e-14    3.74544e-14    3.41915e-14    2.55988e-14    2.08240e-14    1.46050e-14    1.09164e-14    8.20692e-15    7.10622e-15    6.53774e-15    6.47080e-15    6.19746e-15    6.15339e-15    6.15217e-15    6.16702e-15    6.14705e-15    7.04890e-15    6.87177e-15    7.66351e-15    8.19366e-15    8.78692e-15    9.68241e-15    1.04056e-14    1.13678e-14    1.26760e-14    1.35354e-14    1.50808e-14    1.63306e-14    1.80532e-14    1.90549e-14    2.09477e-14    2.26012e-14    2.49772e-14    2.72311e-14    2.92597e-14    3.15796e-14    3.37921e-14    3.60330e-14    3.80689e-14    3.97122e-14    4.09460e-14    3.93736e-14    4.23460e-14
-082 ||    1.06473e-13    8.10600e-14    5.68846e-14    3.93355e-14    3.81062e-14    4.13010e-14    3.83000e-14    3.53115e-14    2.77059e-14    1.98637e-14    1.22362e-14    9.92597e-15    7.62656e-15    6.74386e-15    5.81139e-15    5.30834e-15    5.34548e-15    5.41346e-15    5.41674e-15    5.43225e-15    5.54714e-15    6.20174e-15    6.76356e-15    6.67153e-15    7.33568e-15    8.11209e-15    9.04156e-15    9.86853e-15    1.09059e-14    1.19898e-14    1.31025e-14    1.42977e-14    1.59612e-14    1.67947e-14    1.79337e-14    1.94208e-14    2.19056e-14    2.40236e-14    2.61781e-14    2.83037e-14    3.04592e-14    3.28139e-14    3.50406e-14    3.71752e-14    3.92571e-14    4.05253e-14    3.96359e-14    4.23273e-14
