TDB_past_J2000 sc_2_earth_LVLH_1 sc_2_earth_LVLH_2 sc_2_earth_LVLH_3
922755781.18565 33439269.5859432 87835805.4366213 23271683.4688268
922755791.18565 33655749.1426456 87835762.139764 22957610.1902614
922755801.18565 33869259.2010876 87835719.218832 22641550.9779326
922755811.18565 34079781.3890209 87835676.6809965 22323534.708471
922755821.18565 34287297.62984 87835634.5337419 22003590.4295495
922755831.18565 34491790.1439786 87835592.7842566 21681747.3593625
922755841.18565 34693241.4505991 87835551.4396449 21358034.8824298
922755851.18565 34891634.3692891 87835510.5070916 21032482.545415
922755861.18565 35086952.0214957 87835469.9936618 20705120.0547668
922755871.18565 35279177.8319566 87835429.9061871 20375977.2739993
922755881.18565 35468295.5303834 87835390.2517163 20045084.2180399
922755891.18565 35654289.1526145 87835351.0369481 19712471.05273
922755901.18565 35837143.042193 87835312.2686774 19378168.0891747
922755911.18565 36016841.8516575 87835273.95373 19042205.7806485
922755921.18565 36193370.5436869 87835236.0986169 18704614.7210423
922755931.18565 36366714.3925617 87835198.7100224 18365425.6388181
922755941.18565 36536858.9852153 87835161.7944586 18024669.3954488
922755951.18565 36703790.2224998 87835125.3584564 17682376.9808775
922755961.18565 36867494.3202036 87835089.4084447 17338579.5108473
922755971.18565 37027957.8101757 87835053.9507247 16993308.2235059
922755981.18565 37185167.5414617 87835018.9917825 16646594.4741057
922755991.18565 37339110.6810758 87834984.5377755 16298469.7346422
922756001.18565 37489774.7151944 87834950.5950657 15948965.5870476
922756011.18565 37637147.4498544 87834917.1697833 15598113.7224767
922756021.18565 37781217.0119621 87834884.2680977 15245945.9360266
922756031.18565 37921971.8500523 87834851.8961422 14892494.1237606
922756041.18565 38059400.7350708 87834820.0599879 14537790.2793379
922756051.18565 38193492.7610996 87834788.765621 14181866.4906837
922756061.18565 38324237.3461077 87834758.0190763 13824754.9354924
922756071.18565 38451624.2325372 87834727.8263038 13466487.8786671
922756081.18565 38575643.4879036 87834698.1931482 13107097.6689909
922756091.18565 38696285.5054439 87834669.1255101 12746616.734305
922756101.18565 38813541.004563 87834640.6292253 12385077.5789453
922756111.18565 38927401.0313204 87834612.7100299 12022512.780477
922756121.18565 39037856.9589012 87834585.3736758 11658954.9852408
922756131.18565 39144900.4879699 87834558.625803 11294436.9058725
922756141.18565 39248523.6471166 87834532.472166 10928991.3157167
922756151.18565 39348718.7930019 87834506.9182705 10562651.0486643
922756161.18565 39445478.6107682 87834481.9696723 10195448.9928375
922756171.18565 39538796.1142434 87834457.6319347 9827418.08735993
922756181.18565 39628664.6460755 87834433.9105227 9458591.3199048
922756191.18565 39715077.8778771 87834410.8107763 9089001.72350797
922756201.18565 39798029.8103961 87834388.3380954 8718682.37104347
922756211.18565 39877514.7735055 87834366.4977653 8347666.3735992
922756221.18565 39953527.4262805 87834345.2950899 7975986.87536558
922756231.18565 40026062.7569012 87834324.7352063 7603677.05242562
922756241.18565 40095116.0826686 87834304.8232712 7230770.10689621
922756251.18565 40160683.0498614 87834285.5643687 6857299.26456742
922756261.18565 40222759.6335934 87834266.9635117 6483297.77140062
